FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	16384	16384	16384	16384
3	3	32768	32768	32768	32768
4	4	49152	49152	49152	49152
5	5	57344	57344	57344	57344
6	6	61440	61440	61440	61440
7	7	63488	63488	63488	63488
8	8	64512	64512	64512	64512
15	15	65024	65024	65024	65024
16	16	65280	65280	65280	65280
17	17	65408	65408	65408	65408
20	20	65472	65472	65472	65472
21	21	65504	65504	65504	65504
22	22	65520	65520	65520	65520
	23	65528	65528	65528	65528
		65532	65532	65532	65532
		65534	65534	65534	65534
