FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	2048	2048	2048
8	6	2560	2560	2560	2560
11	8	3072	3072	3072	3072
17	11	3584	3584	3584	3584
22	15	4096	4096	4096	4096
	16	4608	4608	4608	4608
	17	4864	5120	4864	5120
	22	4992	5632	4992	5632
	23	4996	6144	4996	6144
	43	4998	6656	4998	6656
		4999	7168	4999	7168
			7680		7680
			8192		8192
			8704		8704
			9216		9216
			9728		9728
			10240		9984
			10752		9992
			11264		9996
			11776		9998
			12288		9999
			12800		
			13312		
			13824		
			14336		
			14848		
			15360		
			15872		
			16384		
			16896		
			17408		
			17920		
			18432		
			18944		
			19456		
			19968		
			19984		
			19992		
			19996		
			19998		
			19999		
